rms,peak,crest,kurtosis,std,mean_abs,dominant_freq,dominant_amp,spectral_energy,spectral_centroid,spectral_bandwidth,label
8103.794702367836,18659.0,2.302501566895328,13.688897452818146,1872.6192100358492,7884.46484375,4,418122.6120858253,1838518871416.0005,0.10519849996367846,0.13086755277231868,unbalance_27g
7650.2989192391,11482.0,1.5008563876013883,0.9657613192403334,1478.838819109725,7506.0048828125,4,431917.6557595874,1146496368115.0002,0.11265744846293937,0.1333264000864578,unbalance_27g
7168.025567690345,10972.0,1.5306865044477453,-0.34758120565859807,1993.4565923369428,6885.25390625,1,827282.8284705203,2083451197912.0005,0.09802747082144214,0.13040054165955856,unbalance_27g
6917.401436577584,11239.0,1.6247430632796334,-0.47139485381861856,2003.3527775502644,6620.953125,1,595461.1153440918,2104188495615.9998,0.09427142890478454,0.1300034681906938,unbalance_27g
6236.42780277763,11023.0,1.7675182570205477,-1.2671390921512335,2414.340089971692,5750.1298828125,1,1471288.7486396413,3056090987947.0005,0.07698809212381942,0.1200265169907383,unbalance_27g
6420.144744629375,13231.0,2.0608569629318856,-0.525285726087501,2694.7331406824787,5827.2353515625,1,1492397.074916942,3807141191623.0,0.07983660546318556,0.12434609279558635,unbalance_27g
6076.564876253071,10496.0,1.7272916876141442,-1.5055718964169915,2628.283646921809,5478.755859375,1,1443495.685244889,3621664500524.0,0.08613327212779302,0.12572729073228633,unbalance_27g
7254.550783629929,14710.0,2.027692746075122,-0.5048411999740723,2779.6853113401908,6700.884765625,1,1243909.195437813,4050984864838.0,0.07375255960535702,0.11961090389973869,unbalance_27g
6458.108473815712,11795.0,1.8263861698549384,-1.1093929481231788,2640.0214682961455,5893.8486328125,1,1568180.369700972,3654122992327.0,0.07746926424302626,0.12263714455738764,unbalance_27g
6603.07546516264,11197.0,1.6957249783187518,-1.5086353619393773,2563.028256742976,6085.3505859375,3,962103.1834608259,3444078854031.0005,0.0892182381714986,0.1280066063844596,unbalance_27g
7184.260015187389,11842.0,1.6483256417454597,-1.2908285913635889,2588.9910268202616,6701.5458984375,2,1073091.5881978134,3514236272091.0,0.09278526579128624,0.1283202964024091,unbalance_27g
6504.769676696862,10931.0,1.6804591927612706,-1.3512508569905353,2643.1262876574683,5943.560546875,1,1591581.5263376965,3662737085323.9995,0.08217571154716127,0.12497334655444936,unbalance_27g
7429.7184101617795,12653.0,1.703025512069775,-0.38253080636440684,2397.0655077758565,7032.41015625,1,1109207.3888746502,3012513364070.0,0.07319880686614115,0.11889486164330451,unbalance_27g
6766.770311112929,10954.0,1.6187929390791451,-1.3945677165259025,2629.356773753975,6235.03515625,1,1514165.5924808602,3624638978607.9995,0.07404405651725246,0.11953306949179954,unbalance_27g
7442.593827218649,11291.0,1.5170786236791762,-0.5119180752821886,2236.838208254369,7098.50390625,1,872137.0047357357,2623242073622.0005,0.08381596888355287,0.12413450623021433,unbalance_27g
7683.66424656272,16053.0,2.0892375675031993,-0.32753184811520253,3414.437380510477,6883.3359375,1,1963969.831111334,6112320016638.0,0.06764429933550718,0.11636708867760989,unbalance_27g
8742.511801904835,16404.0,1.8763486251658095,1.6195341209584209,2121.5219165747453,8481.1943359375,4,1011358.8596067227,2359725167183.0005,0.0724965366823979,0.11745239724930615,unbalance_27g
7059.385807525481,12389.0,1.7549685394433348,-0.9916363434312743,2540.7535291181994,6586.3115234375,1,1380477.431627429,3384503235327.0,0.08405920758700934,0.1252880016727423,unbalance_27g
7319.616103014407,13157.0,1.7974986412991807,-0.2566044564926706,2631.6735123564226,6830.1591796875,1,1087112.5652500931,3631059219391.0015,0.0786738729224478,0.11975570074895332,unbalance_27g
7344.252874471282,15803.0,2.151750527944297,-0.7561920300818152,3347.059684382966,6537.2197265625,1,1523153.922076975,5873498063343.0,0.08223030679594055,0.12517582790915235,unbalance_27g
7898.396259474432,14953.0,1.893169133172231,-1.0285906651373222,3202.013919983384,7220.2333984375,2,1305400.2780345858,5375425455946.999,0.07943371220246266,0.12134753348359427,unbalance_27g
6899.8450395869395,16060.0,2.327588504938574,0.3407076586310094,3372.738114595979,6019.34375,1,1789275.184323039,5963960318094.0,0.06518807486355845,0.11595361487280417,unbalance_27g
